ID,Name,State,Year,Month,Precipitation,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-035,Lassen County,California,2015,May,2.72,1.23,114,1.49
CA-037,Los Angeles County,California,2015,May,0.72,0.4,112,0.32
CA-039,Madera County,California,2015,May,0.91,-0.07,82,0.98
CA-041,Marin County,California,2015,May,0.12,-0.78,33,0.9
CA-043,Mariposa County,California,2015,May,1.26,-0.05,79,1.31
CA-045,Mendocino County,California,2015,May,0.27,-1.3,22,1.57
CA-047,Merced County,California,2015,May,0.34,-0.05,77,0.39
CA-049,Modoc County,California,2015,May,2.72,1.23,118,1.49
CA-051,Mono County,California,2015,May,2.97,2.06,129,0.91
CA-053,Monterey County,California,2015,May,0.39,-0.07,78,0.46
CA-055,Napa County,California,2015,May,0.15,-0.7,40,0.85
CA-057,Nevada County,California,2015,May,1.46,-0.71,60,2.17
CA-059,Orange County,California,2015,May,1.01,0.76,124,0.25
CA-061,Placer County,California,2015,May,1.93,-0.08,76,2.01
CA-063,Plumas County,California,2015,May,1.89,-0.13,74,2.02
CA-065,Riverside County,California,2015,May,0.58,0.42,126,0.16
CA-067,Sacramento County,California,2015,May,0.17,-0.51,40,0.68
CA-069,San Benito County,California,2015,May,0.68,0.23,97,0.45
CA-071,San Bernardino County,California,2015,May,0.23,0.07,100,0.16
CA-073,San Diego County,California,2015,May,1.39,1.05,129,0.34
CA-075,San Francisco County,California,2015,May,0.11,-0.57,40,0.68
CA-077,San Joaquin County,California,2015,May,0.15,-0.36,45,0.51
CA-079,San Luis Obispo County,California,2015,May,0.18,-0.22,71,0.4
CA-081,San Mateo County,California,2015,May,0.28,-0.51,49,0.79
CA-083,Santa Barbara County,California,2015,May,0.33,-0.08,88,0.41
CA-085,Santa Clara County,California,2015,May,0.57,-0.09,75,0.66
CA-087,Santa Cruz County,California,2015,May,0.29,-0.53,52,0.82
CA-089,Shasta County,California,2015,May,1.5,-0.53,57,2.03
CA-091,Sierra County,California,2015,May,2.09,-0.08,75,2.17
CA-093,Siskiyou County,California,2015,May,2.09,0.12,81,1.97
CA-095,Solano County,California,2015,May,0.09,-0.46,41,0.55
CA-097,Sonoma County,California,2015,May,0.18,-0.96,32,1.14
CA-099,Stanislaus County,California,2015,May,0.23,-0.23,65,0.46
CA-101,Sutter County,California,2015,May,0.03,-0.62,14,0.65
CA-103,Tehama County,California,2015,May,0.61,-0.92,40,1.53
CA-105,Trinity County,California,2015,May,1.23,-0.96,50,2.19
CA-107,Tulare County,California,2015,May,1.76,0.91,114,0.85
CA-109,Tuolumne County,California,2015,May,2.7,0.84,103,1.86
CA-111,Ventura County,California,2015,May,0.61,0.2,99,0.41
CA-113,Yolo County,California,2015,May,0.1,-0.49,36,0.59
CA-115,Yuba County,California,2015,May,0.17,-1.26,15,1.43
CA-001,Alameda County,California,2015,June,0.27,0.13,107,0.14
CA-003,Alpine County,California,2015,June,1,0.17,90,0.83
CA-005,Amador County,California,2015,June,0.27,-0.21,68,0.48
CA-007,Butte County,California,2015,June,0.22,-0.41,53,0.63
CA-009,Calaveras County,California,2015,June,0.2,-0.21,72,0.41
CA-011,Colusa County,California,2015,June,0.02,-0.27,39,0.29
CA-013,Contra Costa County,California,2015,June,0.27,0.14,107,0.13
CA-015,Del Norte County,California,2015,June,0.45,-1.06,29,1.51
CA-017,El Dorado County,California,2015,June,0.85,0.1,85,0.75
CA-019,Fresno County,California,2015,June,0.18,-0.03,84,0.21
CA-021,Glenn County,California,2015,June,0.07,-0.34,46,0.41
CA-023,Humboldt County,California,2015,June,0.17,-0.72,30,0.89
CA-025,Imperial County,California,2015,June,0.06,0.05,129,0.01
CA-027,Inyo County,California,2015,June,0.1,-0.01,91,0.11
CA-029,Kern County,California,2015,June,0.05,-0.01,96,0.06
CA-031,Kings County,California,2015,June,0.03,-0.01,93,0.04
CA-033,Lake County,California,2015,June,0.08,-0.33,58,0.41
CA-035,Lassen County,California,2015,June,0.74,-0.3,67,1.04
CA-037,Los Angeles County,California,2015,June,0.04,-0.02,95,0.06
CA-039,Madera County,California,2015,June,0.14,-0.14,69,0.28
CA-041,Marin County,California,2015,June,0.27,0.02,94,0.25
CA-043,Mariposa County,California,2015,June,0.23,-0.17,76,0.4
CA-045,Mendocino County,California,2015,June,0.07,-0.43,41,0.5
CA-047,Merced County,California,2015,June,0,-0.07,1,0.07
CA-049,Modoc County,California,2015,June,0.54,-0.54,49,1.08
CA-051,Mono County,California,2015,June,0.88,0.38,109,0.5
CA-053,Monterey County,California,2015,June,0.05,-0.02,83,0.07
CA-055,Napa County,California,2015,June,0.11,-0.12,78,0.23
CA-057,Nevada County,California,2015,June,0.63,-0.16,74,0.79
