ID,Name,State,Year,Month,Temperature,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-085,Santa Clara County,California,2015,April,56.5,3.1,114,53.4
CA-087,Santa Cruz County,California,2015,April,56.1,3.1,116,53
CA-089,Shasta County,California,2015,April,53.4,2.7,102,50.7
CA-091,Sierra County,California,2015,April,44.2,1.7,89,42.5
CA-093,Siskiyou County,California,2015,April,46,2.1,96,43.9
CA-095,Solano County,California,2015,April,60.7,2.8,108,57.9
CA-097,Sonoma County,California,2015,April,56,2.7,113,53.3
CA-099,Stanislaus County,California,2015,April,60.8,2.8,108,58
CA-101,Sutter County,California,2015,April,63.1,3.4,109,59.7
CA-103,Tehama County,California,2015,April,57.3,3.5,108,53.8
CA-105,Trinity County,California,2015,April,50.2,2.8,102,47.4
CA-107,Tulare County,California,2015,April,51.8,2.5,103,49.3
CA-109,Tuolumne County,California,2015,April,46.8,1.8,93,45
CA-111,Ventura County,California,2015,April,55.5,3.9,116,51.6
CA-113,Yolo County,California,2015,April,62.1,3.7,114,58.4
CA-115,Yuba County,California,2015,April,59.4,2.6,102,56.8
CA-001,Alameda County,California,2015,May,59.2,-0.6,46,59.8
CA-003,Alpine County,California,2015,May,46.1,0.8,74,45.3
CA-005,Amador County,California,2015,May,59.7,-0.1,56,59.8
CA-007,Butte County,California,2015,May,63.5,0.9,75,62.6
CA-009,Calaveras County,California,2015,May,60,-0.2,51,60.2
CA-011,Colusa County,California,2015,May,65.6,0.8,73,64.8
CA-013,Contra Costa County,California,2015,May,60.1,-1.4,34,61.5
CA-015,Del Norte County,California,2015,May,55.6,3.2,118,52.4
CA-017,El Dorado County,California,2015,May,55.7,0.2,63,55.5
CA-019,Fresno County,California,2015,May,57.6,-0.2,52,57.8
CA-021,Glenn County,California,2015,May,63.8,0.5,69,63.3
CA-023,Humboldt County,California,2015,May,56.8,2.4,104,54.4
CA-025,Imperial County,California,2015,May,75.3,-1.9,27,77.2
CA-027,Inyo County,California,2015,May,64,-1,40,65
CA-029,Kern County,California,2015,May,64.3,-0,48,64.3
CA-031,Kings County,California,2015,May,67.4,-0.1,51,67.5
CA-033,Lake County,California,2015,May,59.5,1.1,83,58.4
CA-035,Lassen County,California,2015,May,51.6,1.1,84,50.5
CA-037,Los Angeles County,California,2015,May,60.8,-0.5,50,61.3
CA-039,Madera County,California,2015,May,58.6,0,55,58.6
CA-041,Marin County,California,2015,May,55,-0.4,47,55.4
CA-043,Mariposa County,California,2015,May,56.5,-0.9,38,57.4
CA-045,Mendocino County,California,2015,May,57.4,1.4,89,56.1
CA-047,Merced County,California,2015,May,64.6,-0.7,41,65.3
CA-049,Modoc County,California,2015,May,52.1,2.2,96,49.9
CA-051,Mono County,California,2015,May,46.8,-0.1,55,46.9
CA-053,Monterey County,California,2015,May,58.4,-0.3,48,58.7
CA-055,Napa County,California,2015,May,60.9,0.1,59,60.8
CA-057,Nevada County,California,2015,May,55.2,0.8,73,54.4
CA-059,Orange County,California,2015,May,62.5,0.2,62,62.3
CA-061,Placer County,California,2015,May,56.3,0.6,71,55.7
CA-063,Plumas County,California,2015,May,51.3,1,76,50.3
CA-065,Riverside County,California,2015,May,68.5,-2.1,25,70.6
CA-067,Sacramento County,California,2015,May,65,-0.2,52,65.2
CA-069,San Benito County,California,2015,May,59.2,-0.4,45,59.6
CA-071,San Bernardino County,California,2015,May,68.9,-1.4,33,70.3
CA-073,San Diego County,California,2015,May,61.5,-1,36,62.5
CA-075,San Francisco County,California,2015,May,56.1,-0.6,43,56.7
CA-077,San Joaquin County,California,2015,May,64.4,-0.5,44,64.9
CA-079,San Luis Obispo County,California,2015,May,59.2,-0.3,48,59.5
CA-081,San Mateo County,California,2015,May,57.1,1.2,84,55.9
CA-083,Santa Barbara County,California,2015,May,57.8,0.9,77,57
CA-085,Santa Clara County,California,2015,May,58.5,-0,57,58.5
CA-087,Santa Cruz County,California,2015,May,57.5,1,83,56.5
CA-089,Shasta County,California,2015,May,60.4,2.6,102,57.8
CA-091,Sierra County,California,2015,May,50.2,0.8,76,49.4
CA-093,Siskiyou County,California,2015,May,53.9,3.2,107,50.7
CA-095,Solano County,California,2015,May,62.7,-0.6,46,63.3
CA-097,Sonoma County,California,2015,May,57.7,0.4,64,57.3
